lat,lon
-90,-180
-70.811864,-170
-62.733956,-160
-56.44269,-150
-51.057559,-140
-46.238257,-130
-41.810315,-120
-37.669887,-110
-33.748989,-100
-30,-90
-26.3878,-80
-22.88538,-70
-19.471221,-60
-16.12762,-50
-12.839588,-40
-9.5940682,-30
-6.3793702,-20
-3.1847385,-10
0,0
3.18473854,10
6.37937021,20
9.59406823,30
12.8395884,40
16.1276202,50
19.4712206,60
22.8853805,70
26.3878,80
30,90
33.7489886,100
37.669887,110
41.8103149,120
46.2382573,130
51.0575587,140
56.4426902,150
62.7339555,160
70.8118635,170
90,180
