Site,Type,Proxy,Reference,DOI,Lon0Ma,Lat0Ma,Lon56Ma,Lat56Ma,Lon56MaShift,Lat56MaShift,DepthOriginal,Depth,SourcePaleodepth,SourceDOI,Mask,Assessment,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,mg_bcp_red,Glassy,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x
DSDP 164,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-161.517,13.2017,-131.55,3.2,-133,3,5220,5220,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 166,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-175.08,3.7617,-145.35,-4.25,-145.35,-4.25,4880,4880,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 168,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,173.598,10.7033,-155.15,3,-159,5,5000,5000,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 169,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,173.598,10.7033,-155.15,3,-155.15,3,5000,5000,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 170,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,177.617,11.8,-151.15,3.1,-145,3.1,5250,5250,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 212,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,99.2973,-19.189,73.05,-42,81,-40,6050,6050,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 213,caco3,caco3,Slotnick et al. 2015,https://doi.org/10.5194/cp-11-473-2015,93.8962,-10.2118,71,-33.0228,81,-33.0228,3250,3250,Slotnick et al. 2015,https://doi.org/10.5194/cp-11-473-2015,Indian,"Bralower et al., 2018",,,,0,,,,,,,,,
DSDP 248,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,37.4747,-29.5297,28.45,-46.5,31,-46.5,4170,4170,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Southern,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 250,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,39.3692,-33.4623,29,-51.3,29,-51.3,5080,5080,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Southern,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 256,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,100.774,-23.4558,75.05,-45.25,75.05,-45.25,5000,5000,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 259,caco3,caco3,"Hancock et al., 2006",https://doi.org/10.1007/s00531-006-0144-0,112.6963333,-29.6175,85,-51,85,-51,4000,4000,"Hancock et al., 2006",https://doi.org/10.1007/s00531-006-0144-0,Indian,"Panchunk et al., 2008",61,,,37,,,,,,,,,
DSDP 260,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,110.299,-16.1445,86.9,-37.5,86.9,-33,5080,5080,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 261,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,117.893,-12.9472,96.45,-33.5,96.45,-29,5400,5400,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Indian,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 277,caco3,caco3,"Hollis et al., 2015",https://doi.org/10.5194/cp-11-1009-2015,166.1913333,-52.22383333,-168.55,-56.15,-168.55,-56.15,800-1000,900,"Hines et al., 2017",https://doi.org/10.1016/j.palaeo.2017.02.037,Pacific,this study,74,2.5,21,62.74,10.26,15,,,,,,,
DSDP 303,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,154.451,40.8083,-168.05,36.95,-168.05,36.95,5540,5540,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 304,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,155.07,39.3378,-167.65,34.85,-167.65,32,5600,5600,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
