File,Type,Proxy,Lat,Lon,prePETMmean,prePETMstd,prePETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,dProxy,dProxystd,d18osw_local,Site,Glassy,mg_bcp_red,prePETMmeanRaw,PETMmeanRaw,postPETMmeanRaw
sluijs2006-acex302-4a.txt,TEX86,tex86,83,9.3,0.608181818,0.018340219,11,0.616315789,0.017704527,19,0.555333333,0.014573296,15,0.008133971,0.025491448,nan,302,,,0.608181818,0.616315789,0.555333333
gutjahr2017-dsdp401d18omgca.txt,d18O,d18o_m.subb,41.8,-10.95,-1.071285932,0.169880999,6,-1.821243121,0.121019112,12,-1.56925879,0.144355473,17,-0.749957189,0.208578952,-0.58454,401,semi-glassy,,-1.655825932,-2.405783121,-2.15379879
gutjahr2017-dsdp401d18omgca.txt,MgCa,mgca_m.subb:barker,41.8,-10.95,3.437603767,0.121482347,6,3.820267683,0.117178611,12,3.542116974,0.122404598,17,0.382663917,0.168786218,nan,401,,mg_bcp,3.437603767,3.820267683,3.542116974
tripati2005-527mgcasoldadoensis.txt,MgCa,mgca_acarinina:barker,-34.95,-17.75,3.54245,0.157953594,12,3.9772,0.214068933,6,3.66767,0.211048989,15,0.43475,0.266035423,nan,527,,mg_bcp,3.54245,3.9772,3.66767
tripati2005-527mgcam.subb.txt,MgCa,mgca_m.subb:barker,-34.95,-17.75,3.43987,0.200862247,3,4.56704,0,1,3.81791,0.156074252,4,1.12717,0.200862247,nan,527,,mg_bcp,3.43987,4.56704,3.81791
kozdon2013-865d18omorozovellasims.txt,d18O,d18o_morozovella,4.85,-163.85,-3.1044,0.247,5,-3.9734,0.159,6,-3.2864,-0.292,4,-0.869,0.293751596,-0.1536,865,glassy,,-3.258,-4.127,-3.44
tripati2003-865mgcamorozovella.txt,MgCa,mgca_m.subbotinae:barker,4.85,-163.85,nan,nan,0,nan,nan,0,4.38,0,1,nan,nan,nan,865,,mg_bcp,nan,nan,4.38
tripati2003-865mgcamorozovella.txt,MgCa,mgca_m.velascoensis:barker,4.85,-163.85,4.33167,0.347529375,6,nan,nan,0,4.22,0,1,nan,nan,nan,865,,mg_bcp,4.33167,nan,4.22
tripati2004-865mgcamorozovella.txt,MgCa,mgca_morozovella:barker,4.85,-163.85,3.89999,0.211340113,10,4.66837,0.059831628,2,4.41743,0.189689702,11,0.76838,0.219646232,nan,865,,mg_bcp,3.89999,4.66837,4.41743
tripati2004-865mgcaasoldadoensis.txt,MgCa,mgca_acarinina:barker,4.85,-163.85,4.05773582,0.279418119,10,4.6472,0.062545009,2,4.47168,0.180745237,12,0.58946418,0.28633261,nan,865,,mg_bcp,4.05773582,4.6472,4.47168
bijl2009-1172.txt,TEX86,tex86,-64.45,149,0.6295,0.005063372,2,nan,nan,0,0.62065,0.007590664,2,nan,nan,nan,1172,,,0.6295,nan,0.62065
sluijs2011-odpsite1172.txt,TEX86,tex86,-64.45,149,0.6555,0.014970942,20,0.774245168,0.028997344,11,0.652002319,0.014361,10,0.118745168,0.032633955,nan,1172,,,0.6555,0.774245168,0.652002319
zachos2003-1209mgcam.velascoensis.txt,MgCa,mgca_morozovella:reductive,22.2,-171.45,3.68267,0.056721542,3,5.21483,0.21450189,12,5.24025,0.467615456,8,1.53216,0.221874726,nan,1209,,mg_red,3.68267,5.21483,5.24025
zachos2003-1209mgcaa.soldadoensis.txt,MgCa,mgca_acarinina:reductive,22.2,-171.45,3.58725,0.057673651,4,5.07191,0.471613073,11,4.9068,0.364546032,5,1.48466,0.475126447,nan,1209,,mg_red,3.58725,5.07191,4.9068
sluijs2007-bassriver.txt,TEX86,tex86,38.45,-55.55,0.762,0.033636715,15,0.891176471,0.016912404,17,0.7975,0.054967523,8,0.129176471,0.037649143,nan,BR,,,0.762,0.891176471,0.7975
john2008-bassriverd18o.txt,d18O,d18o_acarinina,38.45,-55.55,-1.84355,0.26867008,5,-2.65623,0.312107,33,-2.74873,0.455303471,18,-0.81268,0.411818396,-0.48343,BR,glassy,,-2.32698,-3.13966,-3.23216
