Site,File,doi,Mask,assessment,Type,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,DepthOri,Depth,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
DSDP 277,Hines et al. 2017,https://doi.org/10.1016/j.palaeo.2017.02.037,,deepMIP,MgCa,-178.55,-56.15,mgca_morozovella:barker,166.1913333,-52.22383333,-168.55,-56.15,-173.95,-62.45,-168.55,-58.15,,900,,,,4.73,0.51,7,,,,,5.84,,1,4.734,0.511,7,,,,,mg_bcp,,,,,,
DSDP 277,Hines et al. 2017,https://doi.org/10.1016/j.palaeo.2017.02.037,,deepMIP,MgCa,-178.55,-56.15,mgca_acarinina:barker,166.1913333,-52.22383333,-168.55,-56.15,-173.95,-62.45,-168.55,-58.15,,900,3.73,0.3,7,4.59,1.19,8,,3.79,0.276,7,5.85,,1,4.585,0.562,8,3.000051611,0.375659652,6,,mg_bcp,,,,,,
IODP 302 ACEX,"Sluijs et al., 2020",https://doi.org/10.5194/cp-16-2381-2020,,deepMIP,TEX86,26.15,76.95,tex86,136.18,87.87,26.15,76.95,9.3,83,26.15,76.95,,,0.588,0.022,2,0.639,0.016,15,,0.608,0.018,11,0.63,,1,0.616,0.018,19,0.555333333,0.014573296,15,,,nan,nan,nan,nan,nan,I recalculated this using the Sluijs2020 updated data from ACEX
DSDP 401,"Gutjahr et al., 2017; Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017; http://dx.doi.org/10.1038/nature23646,,deepMIP,d18O,-10.95,41.8,d18o_m.subb,-8.810333333,47.4275,-4.25,35.55,-10.95,41.8,-10.95,41.8,,1900,-1.06,0.21,14,-2.46,0.16,26,,-1.769,0.151,16,-2.657,,2,-2.442,0.157,31,-2.289302621,0.184135721,48,glassy,,-0.58454,-0.4452,-1.1415,-0.6386,-1.2671,
DSDP 401,"Gutjahr et al., 2017; Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017,,deepMIP,MgCa,-10.95,41.8,mgca_m.subb:barker,-8.810333333,47.4275,-4.25,35.55,-10.95,41.8,-10.95,41.8,,1900,3.42,0.07,13,3.86,0.12,11,,3.45,0.117,9,4.029,,2,3.836,0.155,18,3.573058487,0.085885289,22,,mg_bcp,nan,nan,nan,nan,nan,combined with gutjahr in the deepMIP numbers above
DSDP 401,"Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017,,deepMIP,d18O,-10.95,41.8,d18o_a.soldadoensis,-8.810333333,47.4275,-4.25,35.55,-10.95,41.8,-10.95,41.8,,,-1.5,0.4,15,-1.76,0.32,12,,-1.734,0.252,10,-2.478,,1,-1.82,0.345,14,-2.044772727,0.310406789,22,glassy,,-0.58454,-0.4452,-1.1415,-0.6386,-1.2671,
DSDP 527,"Tripati et al., 2005",https://doi.org/10.1029/2003GC000631,,deepMIP,MgCa,-17.75,-34.95,mgca_acarinina:barker,1.76,-28.04,-3.8,-41.45,-17.75,-34.95,-17.75,-34.95,,3400,3.39,0.11,11,4.02,0.17,7,,3.542,0.158,12,4.241,,1,3.977,0.214,6,3.66767,0.211048989,15,,mg_bcp,nan,nan,nan,nan,nan,
DSDP 527,"Tripati et al., 2005",https://doi.org/10.1029/2003GC000631,,deepMIP,MgCa,-17.75,-34.95,mgca_m.subb:barker,1.76,-28.04,-3.8,-41.45,-17.75,-34.95,-17.75,-34.95,,3400,3.48,0.15,7,4.27,0.42,2,,3.44,0.201,3,4.567,,1,4.567,0,1,3.81791,0.156074252,4,,mg_bcp,nan,nan,nan,nan,nan,
ODP 690,"Kozdon et al., 2020",https://doi.org/10.1029/2019PA003811,,deepMIP,d18O,-5,-65.05,d18o_acarinina,1.2,-65.16,1.45,-71.4,-11.35,-65.05,-5,-65.05,,,-2.12,0.44,3,-2.52,0.6,13,,-2.183,1.096,12,-2.436,0.153,5,-2.249,0.402,22,-3.37,0.798707289,4,glassy,,-1.1245,-1.0866,-1.0474,-2.1687,-3.074,
ODP 690,"Kozdon et al., 2020",https://doi.org/10.1029/2019PA003811,,deepMIP,MgCa,-5,-65.05,mgca_acarinina:reductive,1.2,-65.16,1.45,-71.4,-11.35,-65.05,-5,-65.05,,1900,2.65,0.42,5,3.39,0.49,12,,2.92,1.198,10,3.94,1.117,2,3.424,0.803,22,3.114285714,0.737808854,7,,mg_bcp,,nan,nan,nan,nan,this should be mg_bcp - I changed it
